Usage statistics from between 17:00 and 8:00 each day
,Collins (kWh),Main (kWh),DHB (kWh),Collins ($),Main ($),DHB ($)
2015-10-23,279.9400000000023,2124.0,168.32000000000698,44.790400000000375,339.84000000000003,26.93120000000112
2015-10-24,258.7900000000009,1779.0,150.70999999999913,41.40640000000014,284.64,24.11359999999986
2015-10-25,291.04999999999563,2086.0,184.55999999999767,46.5679999999993,333.76,29.52959999999963
2015-10-26,388.6100000000006,2752.0,217.43999999999505,62.1776000000001,440.32,34.79039999999921
2015-10-27,455.73999999999796,2828.0,244.66999999999825,72.91839999999968,452.48,39.14719999999972
2015-10-28,261.02999999999884,2183.0,213.9300000000003,41.764799999999816,349.28000000000003,34.22880000000005
2015-10-29,382.8600000000006,2444.0,211.55999999999767,61.257600000000096,391.04,33.849599999999626
2015-10-30,484.25,2442.0,154.5,77.48,390.72,24.72
2015-10-31,202.47000000000116,1776.0,157.95999999999913,32.39520000000019,284.16,25.27359999999986
2015-11-01,224.4100000000035,2048.0,183.41999999999825,35.90560000000056,327.68,29.34719999999972
2015-11-02,362.5400000000009,2459.0,210.34000000000378,58.00640000000014,393.44,33.65440000000061
2015-11-03,307.63000000000466,2291.0,212.52999999999884,49.22080000000074,366.56,34.00479999999981
2015-11-04,337.40000000000146,2557.0,210.15000000000146,53.984000000000236,409.12,33.62400000000024
2015-11-05,318.51000000000204,2315.0,268.74000000000524,50.961600000000324,370.40000000000003,42.99840000000084
2015-11-06,185.31000000000495,1678.0,159.00999999999476,29.64960000000079,268.48,25.441599999999163
2015-11-07,223.62000000000262,1744.0,149.65999999999622,35.77920000000042,279.04,23.945599999999395
2015-11-08,284.97000000000116,2320.0,186.77999999999884,45.59520000000019,371.2,29.884799999999814
2015-11-09,298.3600000000006,2480.0,208.09999999999854,47.73760000000009,396.8,33.295999999999765
2015-11-10,326.1399999999994,2249.0,177.38999999999942,52.18239999999991,359.84000000000003,28.382399999999908
2015-11-11,301.9099999999962,2365.0,206.76000000000204,48.305599999999394,378.40000000000003,33.08160000000033
2015-11-12,421.6999999999971,2458.0,205.08000000000175,67.47199999999954,393.28000000000003,32.81280000000028
2015-11-13,397.0799999999872,2083.0,154.83000000000175,63.532799999997955,333.28000000000003,24.77280000000028
2015-11-14,455.9100000000035,2225.0,148.91999999999825,72.94560000000057,356.0,23.82719999999972
2015-11-15,367.820000000007,2285.0,184.91999999999825,58.85120000000112,365.6,29.587199999999722
2015-11-16,421.6299999999901,2656.0,208.50999999999476,67.46079999999841,424.96000000000004,33.361599999999164
2015-11-17,552.4100000000035,2904.0,210.75,88.38560000000057,464.64,33.72
2015-11-18,509.83000000000175,2612.0,207.86000000000058,81.57280000000029,417.92,33.257600000000096
2015-11-19,479.9100000000035,2387.0,204.72000000000116,76.78560000000056,381.92,32.75520000000019
2015-11-20,431.6900000000023,2176.0,163.15999999999622,69.07040000000038,348.16,26.105599999999395
2015-11-21,505.25,2236.0,157.97000000000116,80.84,357.76,25.275200000000186
2015-11-22,352.7399999999907,2267.0,194.11000000000058,56.43839999999851,362.72,31.057600000000093
2015-11-23,435.61999999999534,2885.0,262.22000000000116,69.69919999999925,461.6,41.95520000000019
2015-11-24,562.8600000000006,2872.0,206.7300000000032,90.0576000000001,459.52,33.07680000000051
2015-11-25,327.8299999999872,1976.0,146.2300000000032,52.45279999999795,316.16,23.396800000000514
2015-11-26,208.41999999999825,1622.0,141.38000000000466,33.347199999999724,259.52,22.620800000000745
2015-11-27,272.16999999999825,1488.0,141.36000000000058,43.54719999999972,238.08,22.617600000000092
