"Date / Time","Name Path Reference","Object Name","Object Value",
"02/16/2016 00:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198659 ",
"02/15/2016 22:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198656 ",
"02/15/2016 21:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198653 ",
"02/15/2016 19:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198651 ",
"02/15/2016 17:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198647 ",
"02/15/2016 16:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198643 ",
"02/15/2016 14:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198640 ",
"02/15/2016 12:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198636 ",
"02/15/2016 11:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198631 ",
"02/15/2016 09:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198627 ",
"02/15/2016 07:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198621 ",
"02/15/2016 06:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198615 ",
"02/15/2016 04:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198609 ",
"02/15/2016 02:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198603 ",
"02/15/2016 01:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198598 ",
"02/14/2016 23:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198592 ",
"02/14/2016 21:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198587 ",
"02/14/2016 20:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198582 ",
"02/14/2016 18:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198578 ",
